"name","mass_1","mass_1_upper","mass_1_lower","mass_2","mass_2_upper","mass_2_lower","network_snr","distance","distance_upper","distance_lower","chi_eff","chi_eff_upper","chi_eff_lower","total_mass","chirp_mass","chirp_mass_upper","chirp_mass_lower","redshift","redshift_upper","redshift_lower","final_mass","fecha","mes"
"GW190926_050336",41.1,20.8,-12.5,20.4,11.4,-8.2,8.1,3280,3400,-1730,-0.02,0.25,-0.32,61.9,24.4,9,-4.9,0.55,0.44,-0.26,59.6,2019-09-26 05:03:54,9
"GW190925_232845",20.8,6.5,-2.9,15.5,2.5,-3.6,9.7,930,460,-350,0.09,0.16,-0.15,36.7,15.6,1.1,-1.1,0.19,0.08,-0.07,34.9,2019-09-25 23:29:03,9
"GW190924_021846",8.8,4.3,-1.8,5.1,1.2,-1.5,12,550,220,-220,0.03,0.2,-0.08,13.9,5.8,0.2,-0.2,0.11,0.04,-0.04,13.3,2019-09-24 02:19:04,9
"GW190917_114630",9.7,3.4,-3.9,2.1,1.1,-0.4,8.3,720,300,-310,-0.08,0.21,-0.43,11.8,3.7,0.2,-0.2,0.15,0.05,-0.06,11.6,2019-09-17 11:46:48,9
"GW190916_200658",43.8,19.9,-12.6,23.3,12.5,-10,8.1,4940,3710,-2380,0.2,0.33,-0.31,68,26.9,8.2,-5.4,0.77,0.45,-0.32,65,2019-09-16 20:07:16,9
"GW190915_235702",32.6,8.8,-4.9,24.5,4.9,-5.8,13.1,1750,710,-650,-0.03,0.19,-0.24,57.2,24.4,3,-2.3,0.32,0.11,-0.11,54.7,2019-09-15 23:57:20,9
"GW190910_112807",43.8,7.6,-6.8,34.2,6.6,-7.3,14.5,1520,1090,-630,0,0.17,-0.2,78,33.5,4.2,-4.1,0.29,0.17,-0.11,74.4,2019-09-10 11:28:25,9
"GW190828_065509",23.7,6.8,-6.7,10.4,3.8,-2.2,10.2,1540,690,-650,0.05,0.16,-0.17,34.3,13.4,1.4,-1,0.29,0.11,-0.11,33,2019-08-28 06:55:27,8
"GW190828_063405",31.9,5.4,-4.1,25.8,4.9,-5.3,16.5,2070,650,-920,0.15,0.15,-0.16,57.2,24.6,3.6,-2,0.38,0.1,-0.15,54.3,2019-08-28 06:34:23,8
"GW190814",23.3,1.4,-1.4,2.6,0.1,-0.1,25.3,230,40,-50,0,0.07,-0.07,25.9,6.11,0.06,-0.05,0.05,0.01,-0.01,25.7,2019-08-14 21:10:57,8
"GW190805_211137",46.2,15.4,-11.2,30.6,11.8,-11.3,8.1,6130,3720,-3080,0.37,0.29,-0.39,76.7,31.9,8.8,-6.3,0.92,0.43,-0.4,72.4,2019-08-05 21:11:55,8
"GW190803_022701",37.7,9.8,-6.7,27.6,7.6,-8.5,9.3,3190,1630,-1470,-0.01,0.23,-0.28,65,27.6,5.4,-3.8,0.54,0.22,-0.22,62.1,2019-08-03 02:27:19,8
"GW190731_140936",41.8,12.7,-9.1,29,10.2,-9.9,8.8,3330,2350,-1770,0.07,0.28,-0.25,70.7,29.7,7.4,-5.3,0.56,0.31,-0.26,67.4,2019-07-31 14:09:54,7
"GW190728_064510",12.5,6.9,-2.3,8,1.7,-2.6,13.1,880,260,-380,0.13,0.19,-0.07,20.7,8.6,0.6,-0.3,0.18,0.05,-0.07,19.7,2019-07-28 06:45:28,7
"GW190727_060333",38.9,8.9,-6,30.2,6.5,-8.3,11.7,3070,1300,-1230,0.09,0.25,-0.27,68.8,29.4,4.6,-3.7,0.52,0.18,-0.18,65.4,2019-07-27 06:03:51,7
"GW190725_174728",11.8,10.1,-3,6.3,2.1,-2.5,9.1,1030,520,-430,-0.04,0.36,-0.16,18.3,7.4,0.5,-0.5,0.2,0.09,-0.08,17.6,2019-07-25 17:47:46,7
"GW190720_000836",14.2,5.6,-3.3,7.5,2.2,-1.8,10.9,770,650,-260,0.19,0.14,-0.11,21.8,9,0.4,-0.8,0.16,0.11,-0.05,20.8,2019-07-20 00:08:54,7
