name,version,release,gps,mass_1,mass_1_upper,mass_1_lower,mass_2,mass_2_upper,mass_2_lower,network_snr,network_snr_upper,network_snr_lower,distance,distance_upper,distance_lower,chi_eff,chi_eff_upper,chi_eff_lower,total_mass,total_mass_upper,total_mass_lower,chirp_mass,chirp_mass_upper,chirp_mass_lower,detector_frame_chirp_mass,detector_frame_chirp_mass_upper,detector_frame_chirp_mass_lower,redshift,redshift_upper,redshift_lower,false_alarm_rate,p_astro,final_mass,final_mass_upper,final_mass_lower
170705,v1,GWTC-1-marginal,1183279534.3,,,,,,,9.3,,,,,,,,,,,,,,,3.40,,,,,,10.97,,,,
170630,v1,GWTC-1-marginal,1182874645.8,,,,,,,9.7,,,,,,,,,,,,,,,0.90,,,,,,10.46,,,,
170616,v1,GWTC-1-marginal,1181677658.8,,,,,,,9.1,,,,,,,,,,,,,,,2.75,,,,,,1.94,,,,
GW170608,v3,GWTC-1-confident,1180922494.5,11.0,+5.5,-1.7,7.6,+1.4,-2.2,15.4,,,320,+120,-110,0.03,+0.19,-0.07,,,,7.9,+0.2,-0.2,,,,0.07,+0.02,-0.02,≤ 1.0e-07,1.00,17.8,+3.4,-0.7
170423,v1,GWTC-1-marginal,1176984663.0,,,,,,,8.9,,,,,,,,,,,,,,,1.17,,,,,,6.47,,,,
170412,v1,GWTC-1-marginal,1176047817.0,,,,,,,9.7,,,,,,,,,,,,,,,4.36,,,,,,8.22,,,,
170405,v1,GWTC-1-marginal,1175425510.7,,,,,,,9.3,,,,,,,,,,,,,,,1.44,,,,,,4.55,,,,
170219,v1,GWTC-1-marginal,1171548267.0,,,,,,,9.6,,,,,,,,,,,,,,,1.53,,,,,,6.26,,,,
170208,v1,GWTC-1-marginal,1170585583.8,,,,,,,10.0,,,,,,,,,,,,,,,7.39,,,,,,11.18,,,,
GW170104,v2,GWTC-1-confident,1167559936.6,30.8,+7.3,-5.6,20.0,+4.9,-4.6,13.8,+0.2,-0.3,990,+440,-430,-0.04,+0.17,-0.21,,,,21.4,+2.2,-1.8,,,,0.20,+0.08,-0.08,≤ 1.0e-07,1.00,48.9,+5.1,-4.0
161217,v1,GWTC-1-marginal,1165994201.4,,,,,,,10.7,,,,,,,,,,,,,,,7.86,,,,,,10.12,,,,
161202,v1,GWTC-1-marginal,1164686041.9,,,,,,,10.5,,,,,,,,,,,,,,,1.54,,,,,,6.00,,,,
GW151226,v2,GWTC-1-confident,1135136350.6,13.7,+8.8,-3.2,7.7,+2.2,-2.5,13.1,,,450,+180,-190,0.18,+0.20,-0.12,,,,8.9,+0.3,-0.3,,,,0.09,+0.04,-0.04,≤ 1.0e-07,1.00,20.5,+6.4,-1.5
151116,v1,GWTC-1-marginal,1131748925.7,,,,,,,9.0,,,,,,,,,,,,,,,1.24,,,,,,4.77,,,,
GW151012,v3,GWTC-1-confident,1128678900.4,23.2,+14.9,-5.5,13.6,+4.1,-4.8,10.0,,,1080,+550,-490,0.05,+0.31,-0.20,,,,15.2,+2.1,-1.2,,,,0.21,+0.09,-0.09,7.9e-03,1.00,35.6,+10.8,-3.8
151012.2,v1,GWTC-1-marginal,1128666662.2,,,,,,,9.6,,,,,,,,,,,,,,,2.01,,,,,,8.56,,,,
151008,v1,GWTC-1-marginal,1128348574.5,,,,,,,8.8,,,,,,,,,,,,,,,5.12,,,,,,10.17,,,,
GW150914,v3,GWTC-1-confident,1126259462.4,35.6,+4.7,-3.1,30.6,+3.0,-4.4,26.0,+0.1,-0.2,440,+150,-170,-0.01,+0.12,-0.13,,,,28.6,+1.7,-1.5,,,,0.09,+0.03,-0.03,≤ 1.0e-07,1.00,63.1,+3.4,-3.0
